PRC1_BMI_UP.V1_DN,PRC2_EED_DN.V1_DN,PRC2_EZH2_UP.V1_DN,PRC2_SUZ12_UP.V1_DN,PRC2_EED_DN.V1_UP,PRC2_EZH2_UP.V1_UP,PRC2_SUZ12_UP.V1_UP,PRC1_BMI_UP.V1_UP
ARSD,PRICKLE3,PAN2,MYH13,HOXC8,MTHFD2L,WDR25,NEUROD6
TBXAS1,CHAF1B,DEPDC5,RPL37A,NR0B2,CFAP69,COCH,OPA3
L2HGDH,VAC14,SPAG11A,DLGAP1,PTPN7,AFP,SLCO4A1,GATA1
DPY19L4,PLXNB3,FUT7,CD247,MTHFD2L,F2RL1,KRI1,CDH22
APOBEC3F,TSC2,LMNB1,ALDH3A1,GADD45G,MAN2A1,CBX7,NIN
ECPAS,PACS1,DNMT3L,PF4,PDGFA,SEMA3A,ACAP1,DKK2
CORO1A,TEDC2,TNFSF11,ATG16L1,LUZP4,ACTL8,IL1RL2,PLEK2
SERPINB10,POLD1,GJC2,ARSD,ASCL3,ZNF215,USP46,SPON1
LY6G6E,RECQL4,ZNF574,NPFFR1,HOXA2,OPN3,CH25H,FOXP1
GNA15,PEAK1,TFAM,HOXC5,CXCL10,EDN1,DOK2,RBM4
KCNJ4,MCOLN1,FOXN3,CGA,ZHX3,SLC5A7,MRS2,ACE
TRPM4,UTRN,CNGB3,PRKN,TRIB1,IFI44,CIDEA,CNGA1
C22orf31,PRKACG,RPS6KA6,IMPG2,PRELID3B,IRF8,BRDT,GRM2
RAD54L2,ABCB9,LINS1,KLHL11,CYP1A1,ETV4,CA11,RGS16
EFNA5,PRMT7,SULF1,PRSS8,RPL3L,TRIB1,STAB2,ARL4C
GLRA2,TCIRG1,CCL18,LDB2,KCNJ15,CCNJL,ZNF471,NEIL1
ANKS1B,TBL3,CYB5B,EFNA5,NXPH3,B3GALT4,AATK,PDE6A
GNB1L,OSGEPL1,AFF3,EPHX2,CUBN,TBXAS1,LCAT,DYM
RNF19A,MICALL2,LRRC61,HS2ST1,USP12,OSTM1,DYNC2LI1,TNN
OVOL2,FOSL2,IQCC,ZNF696,PTBP2,PRKG2,GAB2,MAFK
LIM2,MCM10,SLC2A6,ZNF695,RNF38,DCBLD2,BMP3,SOHLH2
LRRC37BP1,CLPB,MSH5,RAD54L,ZNF277,TBC1D19,FAT2,CCND2
IFIT1,PCDHGC3,DLGAP5,DEFB126,LRCH4,PPFIA4,RNASEL,PADI4
SLC9A3R2,ACAA2,PLN,SLITRK3,GSC2,PTBP2,ELANE,FAM76A
PCDHA10,H1-10,CAMK4,LHX6,AKR1C3,MMP10,XPNPEP2,SSTR4
ZNRF4,CXCL12,MCM10,HAUS5,CD5,SRPX2,AOC4P,FCHO1
CAND1,FER,DCSTAMP,CD1B,CCDC87,IL13RA2,CCL18,SLC19A2
MIA,ZWILCH,PCYT1B,ACP5,C1orf21,CCK,DCBLD2,SLC1A2
NAA80,SERPINB10,AGTR1,AMBP,CCND2,BMP2,CCK,ANGPTL3
PILRA,INCENP,KCND1,DNAI1,SLPI,FXYD6,HR,EHHADH
CALML5,TKFC,OXNAD1,KCNMB2,SLC30A10,PPP2R1B,TMEM245,SRY
NPFFR1,KCNA4,GAS1,MARK1,TRPS1,IDS,CA6,ACTL8
CHRNA3,INHBB,SLC16A10,CACNA2D2,TOR1AIP2,IL33,LCP1,NUP58
PEAK1,HIVEP3,CASC3,KLHL23,AFP,DMD,ANXA2P3,PLEKHF1
CLDN14,FRS2,GLRA2,NPY,PCBD1,RGS16,GAD2,S100P
RND2,AFF3,DPY19L4,TM4SF20,CHST11,KYNU,OR7A10,CLEC4E
CA5A,TRPM4,PSRC1,PTPRO,ORAI3,TUBA4A,CBL,NR1I2
DNAI1,GLE1,HBD,DCC,RFPL2,PRSS3,SERPINB2,PTPN7
NACAD,TCAP,DDB2,MYF6,GATA1,EPHB2,NMRK2,SLC6A15
FZD10,SLC26A1,ADAMTS5,KAT8,AVL9,ST6GAL1,ERO1A,CDK6
HHIPL2,CAD,CDC25A,RUNDC3A,SATB1,YRDC,ALDH1A3,TSPAN7
TSPAN12,BCKDK,LRRC20,LINC00588,CSHL1,KIR2DL4,PPFIA4,TMEM187
LRP12,TRMT2A,METTL16,CACNG2,MPDZ,CRCT1,TAS2R13,FPR3
USP46,STXBP2,OIP5,LRRC61,SCG2,COL4A5,MT4,ERAP2
FES,PCDH12,NPAS1,IL10RA,CDK2AP1,TRAF3IP1,PRKY,ZNF117
AANAT,CSDC2,MED18,RFX2,RABGAP1L,SLC16A8,PLEK2,MDFI
SPTBN2,ZNF446,WDR76,CCL19,MRS2,HS3ST3A1,SCG5,ADCY8
